time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
31,15872,30,515,893.8235294117648,300,0.2,1535.064793395996,0.0,-2.11658189073205e-06,1479.0588235294117,622.353515625,0.0,7.426738739013672e-05,1e-06,-1.94590066075325
32,16384,30,529,903.9444444444445,310,0.2,17.67568645477295,2.5844201e-08,-1.4173873933032154e-05,1455.7777777777778,9.324427604675293,0.0,9.000301361083984e-06,1e-06,-1.9459001809358596
33,16896,31,543,903.9444444444445,320,0.2,2930.0472564697266,0.0,-5.0608243327587845e-06,1455.7777777777778,1016.5439453125,0.0,4.9233436584472656e-05,1e-06,-1.945899786055088
34,17408,31,556,903.9444444444445,330,0.2,1925.0183853149415,0.0,-4.4438784243538976e-06,1455.7777777777778,1248.026611328125,0.0,4.374980926513672e-05,1e-06,-1.9458993151783943
35,17920,31,571,933.4736842105264,340,0.2,45.38350715637207,5.1921234e-08,-2.246987132821232e-05,1474.0,26.481081008911133,0.0,-8.344650268554688e-07,1e-06,-1.945898750424385
36,18432,31,584,933.4736842105264,350,0.2,3831.1980895996094,0.0,-1.5309196896851063e-06,1474.0,2356.511474609375,0.0,3.7670135498046875e-05,1e-06,-1.9458976447582246
37,18944,31,598,937.6,360,0.2,178.6076391220093,1.1723023e-07,-1.5652133151888846e-05,1448.65,116.50981903076172,0.0,0.00013458728790283203,1e-06,-1.9458971172571182
38,19456,31,612,937.6,370,0.2,1817.4360931396484,0.0,-6.644416134804487e-06,1448.65,1059.8726806640625,0.0,8.022785186767578e-05,1e-06,-1.9458962753415108
39,19968,31,626,937.6,380,0.2,35.244345331192015,2.9918738e-08,-2.0979384134989233e-05,1448.65,19.640853881835938,0.0,-1.7881393432617188e-06,1e-06,-1.9458960801362992
40,20480,31,640,937.6,390,0.2,297.02906532287597,8.777715e-08,-1.5835417434573175e-05,1448.65,112.63886260986328,0.0,-3.445148468017578e-05,1e-06,-1.9458950936794281
41,20992,32,654,984.9047619047619,400,0.2,3740.510601806641,0.0,-2.91223987005651e-06,1481.7619047619048,1623.08056640625,0.0,-4.76837158203125e-06,1e-06,-1.945894305408001
42,21504,32,667,966.5909090909091,410,0.2,2375.5430572509767,0.0,-3.156845923513174e-06,1501.0454545454545,744.9207153320312,0.0,1.2814998626708984e-05,1e-06,-1.9458942368626595
43,22016,32,681,950.8260869565217,420,0.2,5920.584875488281,0.0,-8.535571396350861e-07,1484.9565217391305,4173.662109375,0.0,-1.1682510375976562e-05,1e-06,-1.9458940669894218
44,22528,32,695,919.75,430,0.2,3086.947659301758,0.0,-9.493756806477904e-07,1467.125,1410.5859375,0.0,3.55839729309082e-05,1e-06,-1.9458940416574477
45,23040,32,708,916.84,440,0.2,2081.602899169922,0.0,-1.5688594430685043e-06,1467.08,756.300537109375,0.0,2.9325485229492188e-05,1e-06,-1.9458938881754875
46,23552,32,722,891.5,450,0.2,4267.856149291993,0.0,-1.1278782039880752e-06,1449.423076923077,2289.943115234375,0.0,2.4020671844482422e-05,1e-06,-1.9458936125040054
47,24064,32,736,891.5,460,0.2,4695.834420776368,0.0,-8.765258826315403e-07,1449.423076923077,1868.443359375,0.0,-1.0728836059570312e-05,1e-06,-1.945893406867981
48,24576,32,750,891.5,470,0.2,1344.5640113830566,0.0,-8.466566214337945e-07,1449.423076923077,760.7996826171875,0.0,1.1920928955078125e-06,1e-06,-1.9458933979272843
49,25088,32,764,924.8148148148148,480,0.2,2488.4387268066407,0.0,-6.464135367423296e-07,1507.0,723.1738891601562,0.0,-3.337860107421875e-06,1e-06,-1.9458933040499686
